main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,handedness,variant_1,variant_2,compounded_word,notes
I LOVE YOU,I-LOVE-YOU,I-L-Y,,I-L-Y,,1,,,,
I-PHONE,fs-I+PHONE,I,,Y,,1,,,I+PHONE,
ICE CREAM,ICE-CREAM,S,,S,,1,,,,
ICE SKATE,fs-ICE+ICE-SKATE,I,,X,X,1,,,ICE+ICE-SKATE,
ICE SKATE,ICE-SKATE,X,X,X,X,1,,,,
IDEA,IDEA,I,,I,,1,,,,
IDENTIFICATION,IDENTIFICATION,I,B-L,D,B-L,1,,,,
IDENTIFY,IDENTIFY,I,B-L,I,B-L,1,,,,
IF,#IF,I,,F,,1,,,,loan
IF,IF,I,,I,,1,,,,
IGNITION OFF,IGNITION-OFF,X-over-thumb,,X-over-thumb,,1,,,,
IGNITION ON,IGNITION-ON,X-over-thumb,,X-over-thumb,,1,,,,
IGNORE,IGNORE,4,,4,,1,,,,
ILLEGAL,ILLEGAL,L,B-L,L,B-L,1,,,,
IMAGINE,IMAGINE,I,I,I,I,1,,,,
IMMATURE,IMMATURE,I,,I,,1,,,,
IMPORTANT,IMPORTANT,F,F,F,F,1,,,,
IMPOSSIBLE,IMPOSSIBLE,Y,B-L,Y,B-L,1,,,,
IMPRESS,IMPRESS,10,B-L,10,B-L,1,,,,
IMPRESS MEMORY,IMPRESS-MEMORY,10,,10,,1,,,,
IMPROVE,IMPROVE,B-L,psv,B-L,psv,1,,,,
IN,IN,flat-O,flat-O,flat-O,flat-O,1,,,,
IN,IN,flat-O,C,flat-O,C,1,,,,
IN,IN,flat-O,tight-C,flat-O,tight-C,1,,,,
IN,IN,5,crvd-5,flat-O,crvd-B,1,,,,
IN,IN,flat-O,O,flat-O,O,1,,,,
IN FIVE YEARS,IN-FIVE-YEARS,S,S,5,S,1,,,,
IN FOUR YEARS,IN-FOUR-YEARS,S,S,4,S,1,,,,
IN THREE YEARS,IN-THREE-YEARS,S,S,3,S,1,,,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,5,crvd-5,flat-O,tight-C,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,5,C,flat-O,O,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,crvd-sprd-B,crvd-sprd-B,flat-O,O,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,5,tight-C,flat-O,flat-O,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,5,5,flat-O,tight-C,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,5,5,flat-O,O,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,crvd-5,crvd-5,flat-O,crvd-sprd-B,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,5,C,flat-O,C,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,crvd-5,crvd-B,flat-O,crvd-B,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,crvd-sprd-B,C,flat-O,C,1,INCLUDE,INVOLVE,,
INCLUDE/INVOLVE,INCLUDE/INVOLVE,5,flat-O,flat-O,flat-O,1,INCLUDE,INVOLVE,,
INCOMPETENT,INCOMPETENT,5,S,5,S,1,,,,
INCOMPETENT,INCOMPETENT,10,S,5,S,1,,,,
INCREASE,INCREASE,U,U,U,U,1,,,,
INCREASE,INCREASE,U,U,crvd-U,U,1,,,,
INDEPENDENT,INDEPENDENT,I,I,I,I,1,,,,
INDIA,ns-INDIA,10,,10,,1,,,,
INDIA,ns-INDIA,A,,A,,1,,,,
INDIVIDUAL,INDIVIDUAL,I,I,I,I,1,,,,
INDONESIA,ns-nat-INDONESIA,U-L,,bent-U-L,,1,,,,
INDUSTRY,INDUSTRY,I,psv,I,psv,1,,,,
INFLATE,INFLATE,flat-O,flat-O,C,flat-O,1,,,,
INFLATE,INFLATE,flat-O,B,C,B,1,,,,
INFLATE,INFLATE,flat-O,B,crvd-B,B,1,,,,
INFORM,INFORM,flat-O,flat-O,crvd-sprd-B,crvd-sprd-B,1,,,,
INFORM,INFORM,flat-O,flat-O,crvd-5,crvd-5,1,,,,
INFORM,INFORM,flat-O,flat-O,5,5,1,,,,
INFORM,INFORM,flat-O,flat-O,B-L,B-L,1,,,,
INJECT,INJECT,3,,bent-1,,1,,,,
INJECT,INJECT,3,,X-over-thumb,,1,,,,
INJECT,INJECT,3,,K,,1,,,,
INJECT,INJECT,L,,A,,1,,,,
INJECT,INJECT,L,,1,,1,,,,
INJECT,INJECT,L,,X-over-thumb,,1,,,,
INJECT,INJECT,L,,bent-1,,1,,,,
INJECT,INJECT,L,,L,,1,,,,
INNOCENT,INNOCENT,U,U,U,U,1,,,,
INSPIRE,INSPIRE,5,5,5,5,1,,,,
INSPIRE,INSPIRE,flat-O,flat-O,5,5,1,,,,
INSTITUTE,INSTITUTE,I,S,I,S,1,,,,
INSTITUTE,INSTITUTE,I,I,I,I,1,,,,
INSULT,INSULT,1,,1,,1,,,,
INSULT,INSULT,bent-1,,bent-1,,1,,,,
INSURANCE/INFECTION,INSURANCE/INFECTION,I,,I,,1,INSURANCE,INFECTION,,
INTERCOURSE,INTERCOURSE,V,crvd-V,V,crvd-V,1,,,,
INTERCOURSE,INTERCOURSE,V,V,V,V,1,,,,
INTERESTING,(L-X)INTERESTING,L-X,L-X,X-over-thumb,X-over-thumb,1,,,,
INTERESTING,(L-X)INTERESTING,L-X,crvd-B,X-over-thumb,X-over-thumb,1,,,,
INTERESTING,INTERESTING,5,5,8,8,1,,,,
INTERESTING,(L-X)INTERESTING,L-X,L-X,A,A,1,,,,
INTERNATIONAL,INTERNATIONAL,I,I,I,I,1,,,,
INTERNET,INTERNET,25,25,25,25,1,,,,
INTERPRET,INTERPRET,F,F,F,F,1,,,,
INTERPRETER,INTERPRET+AGENT,F,F,B-L,B-L,1,,,INTERPRET+AGENT,
INTERRUPT,INTERRUPT,B-L,B-L,B-L,B-L,1,,,,
INTERVIEW,INTERVIEW,I,I,I,I,1,,,,
INTRODUCE,INTRODUCE,bent-B-L,crvd-B,bent-B-L,crvd-B,1,,,,
INTRODUCE,INTRODUCE,B-L,crvd-B,bent-B-L,bent-B-L,1,,,,
INTRODUCE,INTRODUCE,crvd-B,crvd-B,crvd-B,crvd-B,1,,,,
INTRODUCE,INTRODUCE,B-L,B-L,bent-B-L,bent-B-L,1,,,,
INTRODUCE,INTRODUCE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
INVEST,INVEST,crvd-3,crvd-3,crvd-3,crvd-3,1,,,,
INVEST,INVEST,3,3,3,3,1,,,,
INVITE/HIRE,INVITE/HIRE,crvd-flat-B,,crvd-flat-B,,1,INVITE,HIRE,,
INVITE/HIRE,INVITE/HIRE,crvd-B,,crvd-B,,1,INVITE,HIRE,,
IRAN,ns-IRAN,10,B-L,10,B-L,1,,,,
IRELAND,ns-IRELAND,crvd-V,S,crvd-V,S,1,,,,
IRELAND,ns-IRELAND,crvd-V,B,crvd-V,B,1,,,,
IRON CLOTHES,IRON-CLOTHES,A,B-L,A,B-L,1,,,,
IRON CLOTHES,IRON-CLOTHES,S,B-L,S,B-L,1,,,,
IRON CLOTHES,IRON-CLOTHES,Y,B-L,Y,B-L,1,,,,
IRON METAL,IRON-METAL,I,S,I,S,1,,,,
ISLAND HAITI,ns-ISLAND-HAITI,horns,S,horns,S,1,,,,
ISLAND/INTEREST,ISLAND/INTEREST,I,S,I,S,1,ISLAND,INTEREST,,
ISLAND/INTEREST,ISLAND/INTEREST,I,B,I,B,1,ISLAND,INTEREST,,
ISOLATED,ISOLATED,I,B-L,I,B-L,1,,,,
ISRAEL,ns-ISRAEL,I,,I,,1,,,,
ISTANBUL,ns-nat-ISTANBUL,B-xd,,B-xd,,1,,,,
ISTANBUL,ns-nat-ISTANBUL,B,,B,,1,,,,
ITALY,ns-nat-ITALY,crvd-L,,crvd-L,,1,,,,
ITALY,ns-ITALY,I,,I,,1,,,,
J,J,I,,I,,1,,,,alphabet
JACK-O-LANTERN,JACK-O-LANTERN,crvd-L,crvd-L,crvd-L,crvd-L,1,,,,
JACK-O-LANTERN,JACK-O-LANTERN,crvd-B,crvd-B,crvd-B,crvd-B,1,,,,
JAMAICA,ns-nat-JAMAICA,B-L,B,bent-B-L,B,1,,,,
JAMAICA,ns-nat-JAMAICA,B-L,B,B-L,B,1,,,,
JAPAN,ns-nat-JAPAN,L,L,,,1,,,,
JAPAN,ns-nat-JAPAN,L,L,baby-O,baby-O,1,,,,
JAW,JAW,X,,X,,1,,,,
JAW,JAW,1,,1,,1,,,,
JAW,JAW,G,,G,,1,,,,
JEALOUS,JEALOUS,I,,I,,1,,,,
JELLY,JELLY,I,B-L,I,B-L,1,,,,
JELLY,fs-JELLY,1,,Y,,1,,,,fingerspelled
JELLYFISH,fs-JELLY+FISH,I,,B-L,1,1,,,JELLY+FISH,
JELLYFISH,JELLYFISH,5,crvd-flat-B,5,crvd-flat-B,1,,,,
JERUSALEM,ns-nat-JERUSALEM,B-L,,B-L,,1,,,,
JESUS,ns-JESUS,25,5,5,25,1,,,,
JESUS,ns-JESUS+AGENT,25,B-L,B-L,B-L,1,,,JESUS+AGENT,
JESUS,ns-JESUS,25,B-L,B-L,25,1,,,,
JEWELRY,JEWELRY,4,4,4,4,1,,,,
JEWISH,JEWISH,crvd-sprd-B,,O,,1,,,,
JEWISH,JEWISH,crvd-sprd-B,,flat-O,,1,,,,
JEWISH,JEWISH,fanned-flat-O,,flat-O,,1,,,,
JOB,#JOB,I,,B,,1,,,,loan
JOIN,JOIN,U,C,U,S,1,,,,
JOIN,JOIN,U,C,U,C,1,,,,
JORDAN,ns-nat-JORDAN,L,,L,,1,,,,
JUDGE,JUDGE,V,1,V,1,1,,,,
JUDGE,COURT+AGENT,F,F,B-L,B-L,1,,,COURT+AGENT,
JUDGE,JUDGE,V,D,V,D,1,,,,
JUGGLE,JUGGLE,S,S,crvd-5,crvd-5,1,,,,
JUMP,JUMP,crvd-V,crvd-B,crvd-V,crvd-B,1,,,,
JUMP,JUMP,crvd-V,B-L,crvd-V,B-L,1,,,,
JUMP,JUMP,V,B-L,V,B-L,1,,,,
JUMP FORWARD,JUMP-FORWARD,crvd-U,flat-B,V,flat-B,1,,,,
JUMP FORWARD,JUMP-FORWARD,crvd-V,B-L,V,B-L,1,,,,
JUMP FORWARD,JUMP-FORWARD,crvd-V,B-L,crvd-V,B-L,1,,,,
JUMP FORWARD,JUMP-FORWARD,crvd-V,flat-B,V,flat-B,1,,,,
JUMP FORWARD,JUMP-FORWARD,crvd-V,crvd-B,V,crvd-B,1,,,,
JUMPROPE,JUMPROPE,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,1,,,,
JUNIOR,JUNIOR_3,5,5,5,5,1,,,,
JUNIOR,JUNIOR_3,5,B-L,5,B-L,1,,,,
JUNIOR,JUNIOR,1,5,1,5,1,,,,
JUNIOR,JUNIOR_2,1,B-L,1,B-L,1,,,,
JUNIOR BOSS,BOSS+LOWERCASE/TINY,5-C,,G,,1,LOWERCASE,TINY,BOSS+LOWERCASE/TINY,
K,K,K,,K,,1,,,,alphabet
KANGAROO,KANGAROO,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
KANGAROO,KANGAROO,bent-B-L,bent-B-L,bent-B,bent-B,1,,,,
KANGAROO,KANGAROO,bent-B,bent-B,bent-B,bent-B,1,,,,
KARATE,KARATE,B-L,B-L,B-L,B-L,1,,,,
KARATE,KARATE,flat-B,flat-B,flat-B,flat-B,1,,,,
KARATE,KARATE,B-xd,flat-B,B-xd,flat-B,1,,,,
KC,ns-#KC,K,,C,,1,,,,loan
KEEP,KEEP,K,K,K,K,1,,,,
KEEP IN MIND,KEEP-IN-MIND,X,,X,,1,,,,
KEEP SECRET,SECRET+HIDE,A,,A,crvd-B,1,,,SECRET+HIDE,
KEEP SECRET,SECRET+HIDE,A,,A,crvd-flat-B,1,,,SECRET+HIDE,
KEEP SECRET,SECRET+HIDE,A,,A,bent-B,1,,,SECRET+HIDE,
KETCHUP,KETCHUP,C,,C,,1,,,,
KETCHUP,(S)KETCHUP,5,S,5,S,1,,,,
KETCHUP,(S)KETCHUP,B-L,O,B-L,O,1,,,,
KEY,KEY,X,B-L,X,B-L,1,,,,
KEY,KEY,X-over-thumb,B-L,X-over-thumb,B-L,1,,,,
KICK,KICK,B,flat-B,B,flat-B,1,,,,
KICK,KICK,B-xd,flat-B,B-xd,flat-B,1,,,,
KICK,KICK,B-xd,B-xd,B-xd,B-xd,1,,,,
KICK,KICK,B,B-L,B,B-L,1,,,,
KICK,KICK,K,B-L,K,bent-B-L,1,,,,
KICK OFF,KICK-OFF,cocked-8,B-L,open-8,B-L,1,,,,
KICK OFF,KICK-OFF,8,B-L,5,B-L,1,,,,
KID,KID,bent-horns,,bent-horns,,1,,,,
KIDNEY,KIDNEY,1,,1,,1,,,,
KIDNEY,KIDNEY,bent-1,,bent-1,,1,,,,
KILL,KILL,K,B-L,K,B-L,1,,,,
KILL,KILL,G,B-L,G,B-L,1,,,,
KILL,KILL,1,B-L,1,B-L,1,,,,
KIND,KIND,K,K,K,K,1,,,,
KINDERGARTEN,KINDERGARTEN,K,,K,,1,,,,
KINDERGARTEN,KINDERGARTEN,K,flat-B,K,flat-B,1,,,,
KINDERGARTEN,KINDERGARTEN,K,B-L,K,B-L,1,,,,
KING,KING,K,,K,,1,,,,
KINGDOM,KING+AREA,K,,5,5,1,,,KING+AREA,
KINGDOM,KING+AREA_2,K,,5,5,1,,,KING+AREA,
KINGDOM,KING+AREA_2,K,,B-L,B-L,1,,,KING+AREA,
KISS,KISS,flat-O,flat-O,flat-O,flat-O,1,,,,
KITCHEN,(K)KITCHEN,K,B-L,K,B-L,1,,,,
KITCHEN,COOK/KITCHEN+BOX/ROOM,B-L,B-L,B-L,B-L,1,COOK,KITCHEN,COOK/KITCHEN+ROOM,
KITE,KITE,B-L,1,B-L,1,1,,,,
KITE,KITE,1,B-L,1,B-L,1,,,,
KITE,KITE,5,1,5,1,1,,,,
KNEEL,KNEEL,crvd-V,B-L,crvd-V,B-L,1,,,,
KNEEL,KNEEL,V,B-L,crvd-V,B-L,1,,,,
KNIFE,KNIFE,U,U,U,U,1,,,,
KNIFE,KNIFE,1,1,1,1,1,,,,
KNOCK,KNOCK,A,B,A,B,1,,,,
KNOCK,KNOCK,A,B-L,A,B-L,1,,,,
KNOW,KNOW,bent-B-L,,bent-B-L,,1,,,,
KNOW,KNOW,bent-B,,bent-B,,1,,,,
KNOW NOTHING,KNOW-NOTHING,O,,O,,1,,,,
KNOW NOTHING,KNOW-NOTHING,F,,F,,1,,,,
KNOW THAT,KNOW-THAT,B-L,,B-L,,1,,,,
KNOW THAT,KNOW+THAT,bent-B-L,,Y,,1,,,KNOW+THAT,
KNOW THAT,KNOW-THAT,B-L,,bent-B-L,,1,,,,
KNOW THAT,KNOW+THAT,B-L,,Y,,1,,,KNOW+THAT,
KOREA,ns-nat-KOREA,B-L,,bent-B-L,,1,,,,
L,L,L,,L,,1,,,,alphabet
LA,ns-#LA,L,,A,,1,,,,loan
LAB,#LAB,L,,B,,1,,,,loan
LAB,#LAB,L,,B-xd,,1,,,,loan
LABEL,LABEL,U-L,B-L,U-L,B-L,1,,,,
LABEL,LABEL,U,B-L,U,B-L,1,,,,
LACROSSE,LACROSSE,S,S,S,S,1,,,,
LACROSSE,LACROSSE,A,A,A,A,1,,,,
LADDER,LADDER,crvd-5,crvd-5,S,S,1,,,,
LADDER,LADDER,5,5,S,S,1,,,,
LADDER,LADDER,5,5,A,A,1,,,,
LAID UP,LAID-UP,crvd-V,crvd-V,crvd-V,crvd-V,1,,,,incapacitated or bedridden; context-dependent
LAKE,fs-LAKE,L,,E,,1,,,,fingerspelled
LAND,GROUND+AREA,flat-O,flat-O,5,5,1,,,GROUND+AREA,noun
LAND,GROUND+AREA,flat-O,flat-O,A,A,1,,,GROUND+AREA,noun
LAND,GROUND+AREA_2,flat-O,flat-O,5,psv,1,,,GROUND+AREA,noun
LANGUAGE,LANGUAGE,L,L,L,L,1,,,,
LANTERN,LANTERN,Y,B-L,Y,B-L,1,,,,
LANTERN,LANTERN,Y,crvd-5,Y,crvd-5,1,,,,
LANTERN,LANTERN,S,crvd-5,S,crvd-5,1,,,,
LAP,LAP,5,5,5,5,1,,,,
LAP,LAP,B-L,B-L,B-L,B-L,1,,,,
LAPTOP,LAPTOP,B-L,B-L,B-L,B-L,1,,,,
LAST,LAST,I,I,I,I,1,,,,
LAST ITEM IN LIST,LIST-ORDER-PINKY,1,5,1,5,1,,,,
LAST NIGHT,PAST+NIGHT,B-L,,bent-B-L,B,1,,,PAST+NIGHT,
LAST NIGHT,PAST+NIGHT,bent-B-L,,bent-B-L,psv,1,,,PAST+NIGHT,
LAST NIGHT,PAST+NIGHT,bent-B-L,,bent-B-L,B,1,,,PAST+NIGHT,
LAST WEEK,LAST-WEEK,1,B-L,1,B-L,1,,,,
LAST YEAR,LAST-YEAR,cocked-S,,1,,1,,,,
LAST YEAR,PAST+YEAR,B-L,,S,S,1,,,PAST+YEAR,
LAST YEAR,LAST-YEAR,1,,1,,1,,,,
LAST YEAR,LAST-YEAR,L,S,alt-G_bent-L,S,1,,,,
LATCH,LATCH,5,S,S,S,1,,,,
LATE,LATE,B-L,,B-L,,1,,,,
LATE,LATE,B-L,,bent-B-L,,1,,,,
LATER,LATER_2,L,,L,,1,,,,
LATER,LATER,L,B-L,alt-G_bent-L,B-L,1,,,,
LATER,LATER,L,B-L,L,B-L,1,,,,
LAUGH,LAUGH,L,L,10,10,1,,,,
LAUGH,LAUGH,L,L,L,L,1,,,,
LAUGH,LAUGH,L,,alt-G_bent-L,,1,,,,
LAUNDRY DETERGENT,WASHING-MACHINE+SOAP,crvd-5,crvd-5,crvd-B,B-L,1,,,WASHING-MACHINE+SOAP,
LAUNDRY DETERGENT,WASHING-MACHINE+SOAP,crvd-5,crvd-5,10,B-L,1,,,WASHING-MACHINE+SOAP,
LAUNDRY DETERGENT,SOAP+WASHING-MACHINE,B-L,B-L,crvd-5,crvd-5,1,,,SOAP+WASHING-MACHINE,
LAUNDRY DETERGENT,WASHING-MACHINE+SOAP,crvd-5,crvd-5,bent-B-L,B-L,1,,,WASHING-MACHINE+SOAP,
LAW,LAW,L,B-L,L,B-L,1,,,,
LAWYER,LAW+AGENT,L,B-L,B-L,B-L,1,,,LAW+AGENT,
LAZY,LAZY,L,,L,,1,,,,
LEAD,LEAD,8,B-L,8,B-L,1,,,,
LEAD,LEAD,tight-C,B-L,tight-C,B-L,1,,,,
LEAD,LEAD,10,B-L,10,B-L,1,,,,
LEADER,LEAD+AGENT,10,B-L,B-L,B-L,1,,,LEAD+AGENT,
LEAF,LEAF,5,1,5,1,1,,,,
LEAF,LEAF,5,D,5,D,1,,,,
LEAK,LEAK,4,1,4,1,1,,,,
LEARN,LEARN,5,B-L,flat-O,B-L,1,,,,
LEARN,LEARN,5,5,flat-O,5,1,,,,
LEARN,LEARN,crvd-5,B-L,flat-O,B-L,1,,,,
LEATHER,(L)LEATHER,L,,crvd-L,,1,,,,
LEATHER,(L)LEATHER,L,,L,,1,,,,
LEAVE,LEAVE,5,5,A,A,1,,,,
LEAVE,LEAVE,B-L,B-L,A,A,1,,,,
LEAVE,LEAVE,crvd-sprd-B,crvd-sprd-B,flat-O,flat-O,1,,,,
LEAVE THERE,LEAVE-THERE,5,5,5,5,1,,,,
LEBANON,ns-nat-LEBANON,crvd-sprd-B,crvd-sprd-B,flat-O,flat-O,1,,,,
LECTURE,LECTURE,B-L,,B-L,,1,,,,
LEFT,LEFT,L,,L,,1,,,,
LEFT ARM,LEFT-ARM,crvd-flat-B,,crvd-flat-B,,1,,,,
LEFT ARM,LEFT-ARM,crvd-B,,crvd-B,,1,,,,
LEFT ARM,LEFT-ARM,B-L,,B-L,,1,,,,
LEG,LEG,1,,1,,1,,,,
LEG,LEG,bent-1,,bent-1,,1,,,,
LEGISLATURE,LEGISLATURE,L,,L,,1,,,,
LEMON,LEMON,L,,G,,1,,,,
LEMON,LEMON,L,,alt-G_bent-L,,1,,,,
LEMON,LEMON,L,,L,,1,,,,
LEND,LEND,K,K,K,K,1,,,,
LESBIAN,LESBIAN,L,,L,,1,,,,
LESS,LESS,bent-B,B-L,bent-B,B-L,1,,,,
LESS,LESS,bent-B-L,B-L,bent-B-L,B-L,1,,,,
LESS,LESS,bent-B,crvd-B,bent-B,crvd-B,1,,,,
LESS THAN,LESS-THAN,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
LESS THAN,LESS-THAN,bent-B-L,bent-B-L,B-L,bent-B-L,1,,,,
LESS THAN,LESS-THAN,bent-B,bent-B,bent-B,bent-B,1,,,,
LETTER/MAIL,LETTER/MAIL,10,B-L,10,B-L,1,LETTER,MAIL,,
LETTER/MAIL,LETTER/MAIL,10,10,10,10,1,LETTER,MAIL,,
LIBRARIAN,LIBRARY+AGENT,L,,B-L,B-L,1,,,LIBRARY+AGENT,
LIBRARY,LIBRARY,L,,L,,1,,,,
LICENSE,LICENSE,L,L,L,L,1,,,,
LICK,LICK,bent-U-L,B-L,bent-U-L,B-L,1,,,,
LICK,LICK,U,B-L,U,B-L,1,,,,
LICK,LICK,bent-U,B-L,U,B-L,1,,,,
LICK,LICK,bent-U-L,B-L,U,B-L,1,,,,
LID,LID,crvd-5,S,crvd-5,S,1,,,,
LID,LID,crvd-5,C,crvd-5,C,1,,,,
LIE,LIE,B-xd,,B-xd,,1,,,,
LIE,LIE,bent-B-L,,bent-B-L,,1,,,,
LIE,LIE,bent-B-xd,,bent-B-xd,,1,,,,
LIE DOWN,LIE-DOWN,V,B-L,V,B-L,1,,,,
LIFT,LIFT,B-L,B-L,B-L,B-L,1,,,,
LIFT,LIFT,crvd-B,crvd-B,crvd-B,crvd-B,1,,,,
LIGHT,LIGHT,cocked-8,,open-8,,1,,,,
LIGHT,LIGHT,cocked-8,,5,,1,,,,
LIGHT FLASH,LIGHT-FLASH,crvd-sprd-B,crvd-sprd-B,flat-O,flat-O,1,,,,
LIGHT FLASH,LIGHT-FLASH,flat-O,flat-O,flat-O,flat-O,1,,,,
LIGHT HOUSE,LIGHT+HOUSE,cocked-8,,B-L,B-L,1,,,LIGHT+HOUSE,
LIGHT HOUSE,LIGHT+HOUSE,cocked-8,,flat-B,flat-B,1,,,LIGHT+HOUSE,
LIGHT IS OFF,LIGHT+LIGHT-OUT,cocked-8,,flat-O,,1,,,LIGHT+LIGHT-OUT,
LIGHT IS ON,LIGHT+LIGHT-ON,cocked-8,,5,,1,,,LIGHT+LIGHT-ON,
LIGHT MATCH,LIGHT-MATCH,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,1,,,,
LIGHT MATCH,LIGHT-MATCH,X-over-thumb,B-L,X-over-thumb,B-L,1,,,,
LIGHT WEIGHT,LIGHT-WEIGHT,25,25,25,25,1,,,,
LIGHTHOUSE,LIGHTHOUSE,flat-O,1,4,1,1,,,,
LIGHTHOUSE,LIGHTHOUSE,flat-O,1,fanned-flat-O,1,1,,,,
LIGHTHOUSE,LIGHTHOUSE,flat-O,D,flat-O,D,1,,,,
LIGHTNING,LIGHTNING,1,,1,,1,,,,
LIKE,LIKE,25,,8,,1,,,,
LIKE,LIKE,5,,8,,1,,,,
LIKE,LIKE,open-8,,8,,1,,,,
LIMIT,LIMIT,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
LINCOLN,ns-LINCOLN,L,,L,,1,,,,
LINE,LINE,I,,I,,1,,,,
LINE,LINE,I,I,I,I,1,,,,
LINE UP,LINE-UP,4,4,4,4,1,,,,
LINED PAPER,LINED-PAPER,I,B-L,I,B-L,1,,,,
LINGUISTICS,LINGUISTICS,L,L,S,S,1,,,,
LINGUISTICS,LINGUISTICS,L,L,baby-O,baby-O,1,,,,
LION,LION,crvd-5,,crvd-5,,1,,,,
LION,LION,5-C-L,,5-C-L,,1,,,,
LIP/MOUTH,LIP/MOUTH,1,,1,,1,LIP,MOUTH,,
LIP/MOUTH,LIP/MOUTH,L,,L,,1,LIP,MOUTH,,
LIPREAD,LIPREAD,V,,V,,1,,,,
LIPSTICK,LIPSTICK,baby-O,,baby-O,,1,,,,
LIPSTICK,LIPSTICK,flat-G,,flat-G,,1,,,,
LIST,LIST,bent-B-L,B-L,bent-B-L,B-L,1,,,,
LIST ITEMS IN ORDER,LIST-ORDER-IX,1,5,1,5,1,,,,
LITTLE,LITTLE,L-X,L-X,L-X,L-X,1,,,,
LITTLE BIT,LITTLE-BIT,X-over-thumb,,10,,1,,,,
LITTLE BIT,LITTLE-BIT,X-over-thumb,,A,,1,,,,
LIVE,LIVE,10,10,10,10,1,,,,
LIVE,LIVE,L,L,L,L,1,,,,
LIVE BROADCAST,(L)LIVE+BOX/ROOM,L,L,B-L,B-L,1,BOX,ROOM,LIVE+ROOM,
LOAF OF BREAD,"BREAD+DCL\rounded rectangle\""""",bent-B-L,B-L,crvd-B,crvd-B,1,,,BREAD,
LOAF OF BREAD,"BREAD+DCL\rounded rectangle\""""",bent-B-L,crvd-B,crvd-B,crvd-B,1,,,BREAD,
LOBSTER,LOBSTER,V,V,U,U,1,,,,
LOCAL,LOCAL,5,S,5,S,1,,,,
LOCAL,LOCAL,5,O,5,O,1,,,,
LOCK,LOCK,S,S,S,S,1,,,,
LOCK,LOCK,crvd-5,crvd-5,S,S,1,,,,
LOLLIPOP,LOLLIPOP,X-over-thumb,,X-over-thumb,,1,,,,
LONDON,ns-LONDON,L,,L,,1,,,,
LONELY,LONELY,1,,1,,1,,,,
LONG,LONG,1,S,1,S,1,,,,
LONG,LONG,1,psv,1,psv,1,,,,
LONG AGO,LONG-AGO,5,,5,,1,,,,
LONG AGO,LONG-AGO,5,5,5,5,1,,,,
LONG AGO,LONG-AGO,B-L,B-L,B-L,B-L,1,,,,
LONG SLEEVE,LONG-SLEEVE,C,S,B-L,S,1,,,,
LONG SLEEVE,LONG-SLEEVE,C,psv,B-L,psv,1,,,,
LONG SLEEVE,LONG-SLEEVE,crvd-B,psv,B-L,psv,1,,,,
LOOK,LOOK,V,,V,,1,,,,
LOOK,LOOK,K,,K,,1,,,,
LOOK,LOOK,V,V,V,V,1,,,,
LOOK ALIKE,FACE+SAME,1,,Y,,1,,,FACE+SAME,
LOOK ALIKE,(5)FACE+SAME,5,,Y,,1,,,FACE+SAME,
LOOK ALIKE,FACE+SAME,I-L-Y,,Y,,1,,,FACE+SAME,
LOOK AROUND/KEEP SEEING,SEE-SEE,V,,V,,1,,,,
LOOK BY EYE,LOOK-BY-EYE,F,F,F,F,1,,,,
LOOSE,LOOSE,1,flat-O,1,flat-O,1,,,,
LORD,LORD,L,,L,,1,,,,
LORD GOD,LORD-GOD,L,,L,,1,,,,
LOSE,LOSE,5,5,5,5,1,,,,
LOSE,LOSE,flat-O,flat-O,5,5,1,,,,
LOSE COMPETITION,LOSE-COMPETITION,V,B-L,V,B-L,1,,,,
LOSE WEIGHT,LOSE-WEIGHT,L-X,L-X,L-X,L-X,1,,,,
LOSE WEIGHT,LOSE-WEIGHT,crvd-L,crvd-L,crvd-L,crvd-L,1,,,,
LOTION,LOTION,5,B-L,5,B-L,1,,,,
LOUDSPEAKER,LOUDSPEAKER,5,5,crvd-5,crvd-5,1,,,,
LOUDSPEAKER,LOUDSPEAKER,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
