main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,handedness,variant_1,variant_2,compounded_word,notes
HELLO,HELLO,flat-B,,flat-B,,1,,,,
HELLO,HELLO,B,,B,,1,,,,
HELLO,HELLO,B-xd,,B-xd,,1,,,,
HELMET,HELMET,crvd-B,crvd-B,crvd-B,crvd-B,1,,,,
HELMET,HELMET,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
HELP,HELP,10,B-L,10,B-L,1,,,,
HELP,HELP,B-L,10,B-L,10,1,,,,
HERE,HERE,B-L,B-L,B-L,B-L,1,,,,
HEREDITY,HEREDITY,U,U,U,U,1,,,,
HI,ns-#HI,U,,I,,1,,,,loan
HIDE,HIDE,A,crvd-flat-B,A,crvd-flat-B,1,,,,
HIGH,HIGH,U,,U,,1,,,,
HIGH HEELS,HIGH-HEELS,I,I,I,I,1,,,,
HIGH ON DRUGS,HIGH-ON-DRUGS,U,,U,,1,,,,
HIGHWAY,HIGHWAY,U,U,bent-U,bent-U,1,,,,
HIGHWAY,HIGHWAY,bent-U,bent-U,bent-U,bent-U,1,,,,
HILL,HILL,B,,B,,1,,,,
HILL,HILL,B,B,B,B,1,,,,
HISTORY,HISTORY,U,,U,,1,,,,
HIT,HIT,S,1,S,1,1,,,,
HIT,HIT,S,D,S,D,1,,,,
HIT,HIT,5,1,S,1,1,,,,
HITCHHIKE,HITCHHIKE,10,,10,,1,,,,
HOCKEY,HOCKEY,X,B-L,X,B-L,1,,,,
HOCKEY,HOCKEY,X,5,X,5,1,,,,
HOLD,HOLD,S,,S,,1,,,,
HOLLYWOOD,ns-HOLLYWOOD,5,5,5,5,1,,,,
HOLY,HOLY,U,B-L,U,B-L,1,,,,
HOLY,fs-HOLY,U,,Y,,1,,,,fingerspelled
HOME,HOME,flat-O,,flat-O,,1,,,,
HOMEWORK,HOME+WORK,flat-O,,S,S,1,,,HOME+WORK,
HOMEWORK,HOMEWORK,5,psv,S,S,1,,,,
HOMEWORK,HOME+WORK,O,,S,S,1,,,HOME+WORK,
HONEST,HONEST,U,B-L,U,B-L,1,,,,
HONEY/DEAR,HONEY/DEAR,U,,U,,1,HONEY,DEAR,,
HONEYMOON,HONEYMOON,25,,25,,1,,,,
HONG KONG,ns-nat-HONG-KONG,loose-E,,crvd-5,,1,,,,
HONG KONG,ns-nat-HONG-KONG,S,,crvd-5,,1,,,,
HONOR,HONOR,U,,U,,1,,,,
HONOR,HONOR,U,U,U,U,1,,,,
HOPE,HOPE,B-L,B-L,bent-B-L,bent-B-L,1,,,,
HORSE,HORSE,U-L,U-L,bent-U-L,bent-U-L,1,,,,
HORSE,"(2h)HORSE+ICL:S\holding moving pole\""""",U-L,U-L,S,S,2,,,,holding moving pole
HORSE,HORSE,U-L,,bent-U-L,,1,,,,
HORSE,HORSE,U-L,,U-L,,1,,,,
HORSE JOUSTING,"HORSE+ICL:S\holding moving pole\""""",U-L,,S,S,1,,,,
HORSE RIDING,HORSE+RIDE-ON,U-L,,3,B-L,1,,,HORSE+RIDE-ON,
HORSE RIDING,HORSE+RIDE-ON,U-L,,V,B-L,1,,,HORSE+RIDE-ON,
HORSE RIDING,(2h)HORSE+RIDE-ON,U-L,U-L,3,B-L,2,,,HORSE+RIDE-ON,
HOSPITAL,HOSPITAL,U,,bent-U,,1,,,,
HOSPITAL,HOSPITAL_2,U,,U,,1,,,,
HOSPITAL,HOSPITAL_2,B,,B,,1,,,,
HOSPITAL,HOSPITAL,U,,U,,1,,,,
HOSPITAL,HOSPITAL,U-L,,U-L,,1,,,,
HOSPITAL,HOSPITAL,10,,10,,1,,,,
HOSPITAL,HOSPITAL,U-L,,bent-U-L,,1,,,,
HOT,HOT,C,,C,,1,,,,
HOT,HOT,5-C-L,,5-C-L,,1,,,,
HOT,HOT,crvd-5,,crvd-5,,1,,,,
HOT SPICY,HOT-SPICY,B-L,,B-L,,1,,,,
HOTEL,HOTEL,U-L,1,U-L,1,1,,,,
HOTEL,HOTEL,U,1,U,1,1,,,,
HOUR,HOUR,1,B-L,1,B-L,1,,,,
HOUSE,HOUSE,B-xd,B-xd,B-xd,B-xd,1,,,,
HOUSE,HOUSE,B-L,B-L,B-L,B-L,1,,,,
HOUSE,HOUSE,B,B,B,B,1,,,,
HOUSE,HOUSE,B-xd,B-xd,B-L,B-L,1,,,,
HOUSTON,ns-HOUSTON,U,,U,,1,,,,
HOW,HOW,10,10,10,10,1,,,,
HOW,HOW,A,10,A,10,1,,,,
HOW MANY,HOW-MANY,S,,5,,1,,,,
HOW MANY,HOW-MANY,S,S,crvd-5,crvd-5,1,,,,
HOW MANY,HOW-MANY,S,S,5,5,1,,,,
HOW MANY,HOW-MANY,S,,crvd-5,,1,,,,
HR,#HR,U,,R,,1,,,,loan
HUMBLE,HUMBLE,U,crvd-B,U,crvd-B,1,,,,
HUMBLE,HUMBLE,B-L,B-L,B-L,B-L,1,,,,
HUMBLE,HUMBLE,B,crvd-B,B,crvd-B,1,,,,
HUMBLE,HUMBLE,1,B-L,B-L,B-L,1,,,,
HUNDRED,HUNDRED,5-C-L,,5-C-L,,1,,,,
HUNDRED,HUNDRED,C,,C,,1,,,,
HUNGARY,ns-HUNGARY,5-C,,5-C,,1,,,,
HUNGARY,ns-HUNGARY,5-C-L,,5-C-L,,1,,,,
